[14:17:14 INF PalCalc.UI.App] Pal Calc version v1.16.3
[14:17:15 INF PalCalc.Model.PalDB] Loading embedded pal DB
[14:17:15 INF PalCalc.Model.PalDB] Successfully loaded embedded pal DB in 207ms
[14:17:15 INF PalCalc.Model.PalBreedingDB] Loading embedded breeding DB
[14:17:15 INF PalCalc.SaveReader.DirectSavesLocation] listing all local saves from known file locations
[14:17:15 INF PalCalc.SaveReader.DirectSavesLocation] checking for save game folders in C:\Users\Javier\AppData\Local/Pal/Saved/SaveGames
[14:17:16 INF PalCalc.SaveReader.SaveFile.Xbox.XboxWgsFolder] Unable to find Xbox save data package, skipping
[14:17:16 INF PalCalc.UI.ViewModel.MainWindowViewModel] Loading save metadata took 176ms
[14:17:17 INF PalCalc.Model.PalBreedingDB] Successfully loaded embedded breeding DB in 1823ms
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001_Small', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaMonster001', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaMonster001', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaMonster001', skipping
[14:17:20 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaMonster001', skipping
