[17:38:16 INF PalCalc.UI.App] Pal Calc version v1.16.3
[17:38:16 INF PalCalc.Model.PalDB] Loading embedded pal DB
[17:38:17 INF PalCalc.Model.PalDB] Successfully loaded embedded pal DB in 193ms
[17:38:17 INF PalCalc.Model.PalBreedingDB] Loading embedded breeding DB
[17:38:17 INF PalCalc.SaveReader.DirectSavesLocation] listing all local saves from known file locations
[17:38:17 INF PalCalc.SaveReader.DirectSavesLocation] checking for save game folders in C:\Users\Javier\AppData\Local/Pal/Saved/SaveGames
[17:38:18 INF PalCalc.SaveReader.SaveFile.Xbox.XboxWgsFolder] Unable to find Xbox save data package, skipping
[17:38:18 INF PalCalc.Model.PalBreedingDB] Successfully loaded embedded breeding DB in 1200ms
[17:38:18 INF PalCalc.UI.ViewModel.MainWindowViewModel] Loading save metadata took 135ms
[17:39:43 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaMonster002', skipping
[17:39:43 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaMonster002', skipping
[17:39:43 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaMonster002', skipping
[17:39:43 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'Male_Soldier', skipping
[17:39:43 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaBoss001', skipping
[17:39:43 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaMonster001_Pink', skipping
[17:39:43 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaMonster001_Rainbow', skipping
[17:39:43 WRN PalCalc.SaveReader.SaveFile.Support.Level.GvasCharacterInstance] unrecognized pal 'YakushimaMonster001_Rainbow', skipping
